collection	si_namespace
BLAST	cadc:BLAST
BRITE-Constellation	cadc:BRITE-Constellation
CFHT	cadc:CFHT
CFHTMEGAPIPE	cadc:CFHTSG
CFHTTERAPIX	cadc:CFHTTERAPIX
CFHTWIRWOLF	cadc:CFHTSG
CGPS	cadc:CGPS
DAO	cadc:DAO
DAOCADC	cadc:DAOCADC
DAOPLATES	cadc:DAOPLATES
DRAO	cadc:DRAO
EUCLID	esa:EUCLID
EUCLID.DR1	esa:EUCLID/DR1
EUCLID.Q1	esa:EUCLID/Q1
FUSE	cadc:FUSE
GEMINI	cadc:GEMINI
GEMINI	gemini:GEMINI
GEMINICADC	cadc:GEMINICADC
HST	mast:HST
HSTHLA	cadc:HSTHLA
IRIS	cadc:IRIS
JCMT	cadc:JCMT
JCMTLS	cadc:JCMTLS
JWST	mast:JWST
LSST.DP1	lsst:dp1
MACHO	cadc:MACHO
MOST	cadc:MOST
NEOSSAT	cadc:NEOSSAT
NGVS	cadc:NGVS
OMM	cadc:OMM
POSSUM	cadc:POSSUM
RACS	casda:RACS
SCUBA-LC	cadc:SCUBA-LC
SUBARUCADC	cadc:SUBARUCADC
TAOSII	cadc:TAOSII
UKIRT	cadc:UKIRT
VGPS	cadc:VGPS
VLASS	cadc:VLASS
VLASS	nrao:VLASS
WALLABY	cadc:WALLABY
